CONDITION,SUB CONDITION,TIME FRAME,DECISION
"Kidney, Renal, or on Dialysis",Chronic Kidney Disease (including chronic renal insufficiency),Last 48 Months,Graded
Liver,Hepatitis B,Ever,Graded
Liver Cirrhosis,,Ever,Decline
"Lung Disesase, COPD, Chronic Bronchitis",Chronic Bronchitis (Chronic Cough),Hospitalized more than once in the past 24 months,Decline
"Lung Disesase, COPD, Chronic Bronchitis",Chronic Obstructive Pulmonary Disease (COPD,Hospitalized more than once in the past 24 months,Decline
"Lung Disesase, COPD, Chronic Bronchitis",Chronic Obstructive Pulmonary Disease (COPD),"Not Hospitalized in last 24 months, non tobacco user",Graded
"Lung Disesase, COPD, Chronic Bronchitis",Chronic Obstructive Pulmonary Disease (COPD),Tobacco User,Graded
"Lung Disesase, COPD, Chronic Bronchitis",Emphysema,Hospitalized more than once in the past 24 months,Decline
Lupus,,Last 48 Months,Graded
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Bipolar Disorder (or Manic-Depressive Disorder,) Last 48 Months,Graded
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Mental Incapacity,Ever,Decline
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Psychotic Event,Hospitalized in the last 36 months,Decline
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Schizophrenia,Hospitalized in the last 36 months,Decline
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Schizophrenia,Ever,Graded
"Mental Illness, Suicide Attempts, or any Mental Incapacity",Suicide Attempt,Ever,Decline
Muscle diseases,Dermatomyositis,Last 48 months,Graded
Organ Transplant,,Ever,Decline
Weight Loss that is unexplained,,Last 12 months,Graded
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Assistance with ADLs due to a chronic or debilitating condition,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Bedridden,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Confined to any Skilled Nursing Facility or Hospital Facility,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Require Electric Scooter due to a debilitating condition,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Home Health Care,Currently or been advised to,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Hospice Care,Currently or been advised to,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Nursing Home,Currently or been advised to,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Paraplegia,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Quadriplegia,Currently,Decline
"Wheelchair Dependent, Electric Scooter Dependent, Bedridden, in a Nursing Home, or Hospice",Require Wheelchair due to a debilitating condition,Currently,Decline
Other,Require Oxygen Currently (other than for sleep apnea),Currently,Decline
Other,Sickle Cell Anemia,Ever,Decline
Other,Terminal Illness or Terminal Health Conditions,Expected to die within 12 months,Decline
